Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj
FDLR - FMLR,9.674662038743586,3.8636607285579073e-22,3.477294655702117e-21,FDLR - FMLR,-8.802617242136284,1.3366180680602256e-18,1.7376034884782933e-17,FDLR - FMLR,-6.038053766963681,1.5598409572237854e-9,1.4038568615014068e-8,FDLR - FMLR,11.457502712490786,2.1564313945368422e-30,3.2346470918052636e-29
FDLR - FSLR,17.655826332236348,9.178052106331839e-70,1.5602688580764125e-68,FDLR - FSLR,-7.465385318348624,8.305620204364811e-14,9.1361822248012925e-013,FDLR - FSLR,-1.7001394079235925,0.0891047062510053,0.0891047062510053,FDLR - FSLR,16.616998654047638,5.249573089763867e-62,9.974188870551348e-61
FMLR - FSLR,12.985091077553296,1.4866122684505852e-38,1.932595948985761e-37,FMLR - FSLR,0.3164549992264793,0.7516571767655088,1,FMLR - FSLR,5.042787313108178,4.5879911953641976e-7,2.7527947172185188e-6,FMLR - FSLR,9.322390452060745,1.1374815029965303e-20,1.5924741041951426e-19
FDLR - HRRF,-5.985396123448665,2.158638528748299e-9,8.634554114993196e-9,FDLR - HRRF,-15.34270099150102,3.9635415075730747e-53,8.323437165903457e-52,FDLR - HRRF,-14.91859720682894,2.4946282608406473e-50,4.9892565216812945e-49,FDLR - HRRF,-1.0956045335138407,0.2732518768851601,0.2732518768851601
FMLR - HRRF,-20.692556229074537,4.04206147199051e-95,7.275710649582918e-94,FMLR - HRRF,-10.7960314419283,3.594040628409062e-27,6.828677193977217e-26,FMLR - HRRF,-13.667434642797947,1.5889893644816907e-42,2.8601808560670436e-41,FMLR - HRRF,-15.96615303629808,2.199393037277643e-57,3.9589074670997573e-56
FSLR - HRRF,-27.798307624530647,4.546946887611499e-170,9.548588463984148e-169,FSLR - HRRF,-9.106958893103258,8.472347778017634e-20,1.270852166702645e-18,FSLR - HRRF,-15.407984808434893,1.4465277744289096e-053,3.0377083263007102e-52,FSLR - HRRF,-20.86667633882302,1.0755689785359875e-96,2.258694854925574e-95
FDLR - INPR,15.853007903996527,1.3401004832268031e-56,2.144160773162885e-55,FDLR - INPR,-1.6238971067668009,0.10439777016286617,0.3131933104885985,FDLR - INPR,2.1965693492756526,0.028051217266842177,0.08415365180052653,FDLR - INPR,4.946686772204344,7.548729693115843e-7,6.793856723804259e-6
FMLR - INPR,11.300437094012608,1.3056650301248916e-29,1.5667980361498699e-28,FMLR - INPR,4.642502569372373,3.4421435701574087e-6,2.409500499110186e-5,FMLR - INPR,7.044304168481434,1.8639058395400062e-12,2.050296423494007e-11,FMLR - INPR,-2.7395318728693923,0.006152674881587367,0.030763374407936833
FSLR - INPR,3.2131163642954754,0.0013130308027451635,0.002626061605490327,FSLR - INPR,4.11375682431007,3.8927150633261854e-5,2.3356290379957114e-4,FSLR - INPR,3.701889195992177,2.1400007793544878e-4,0.0010700003896772438,FSLR - INPR,-7.721492345056039,1.14975509112737e-14,1.494681618465581e-13
HRRF - INPR,21.867646666362024,5.281206307906785e-106,1.0034291985022891e-104,HRRF - INPR,10.24387789121188,1.2607931511610874e-24,2.1433483569738485e-23,HRRF - INPR,14.053441304166983,7.337979444712547e-45,1.394216094495384e-43,HRRF - INPR,6.219410616390168,4.990258010011594e-10,5.489283811012753e-9
FDLR - MCPR,14.384724883069964,6.453421341381165e-47,9.680132012071749e-46,FDLR - MCPR,-10.336425032682099,4.821912107924404e-25,8.679441794263927e-24,FDLR - MCPR,-6.747777659192319,1.5012676157077442e-11,1.501267615707744e-10,FDLR - MCPR,1.1105446139109523,0.2667644143940021,0.5335288287880042
FMLR - MCPR,8.285523616856342,1.1759057247959227e-16,9.407245798367381e-16,FMLR - MCPR,-3.5592999039675193,3.7184471748716346e-4,0.0018592235874358173,FMLR - MCPR,-1.9463349273157469,0.051614520660610196,0.10322904132122039,FMLR - MCPR,-13.217631661152001,6.941536224728906e-40,1.110645795956625e-38
FSLR - MCPR,-4.3371679536833785,1.4433033735955275e-5,4.3299101207865825e-5,FSLR - MCPR,-3.156872104859155,0.001594712743816933,0.006378850975267732,FSLR - MCPR,-5.873507244363814,4.266703764986466e-9,3.413363011989173e-8,FSLR - MCPR,-18.66163934314481,1.0156696601081807e-77,2.0313393202163616e-76
HRRF - MCPR,24.34353327219831,6.787638600625067e-131,1.3575277201250134e-129,HRRF - MCPR,6.213985925852884,5.165715693561805e-10,4.6491441242056246e-009,HRRF - MCPR,9.97324342704707,1.9960195388938536e-23,2.794427354451395e-22,HRRF - MCPR,2.6439380741978558,0.008194764707741331,0.032779058830965324
INPR - MCPR,-6.137156499060162,8.401161522943118e-10,4.200580761471559e-9,INPR - MCPR,-6.268114334003387,3.654464241421746e-10,3.6544642414217457e-9,INPR - MCPR,-7.652170564425201,1.9761487696271366e-14,2.371378523552564e-13,INPR - MCPR,-4.543616986974639,5.529709351549859e-6,4.4237674812398875e-5
FDLR - OFPR,6.959676999915296,3.4105377463103617e-12,2.046322647786217e-11,FDLR - OFPR,-13.835065639418975,1.565934533193597e-43,3.131869066387194e-42,FDLR - OFPR,-10.855545591241679,1.8768260709446673e-27,3.0029217135114677e-26,FDLR - OFPR,3.4102523016076147,6.490280868135882e-4,0.0045431966076951175
FMLR - OFPR,-1.0968731677868933,0.27269683971913317,0.27269683971913317,FMLR - OFPR,-8.879289622528633,6.728869814156649e-19,9.420417739819309e-18,FMLR - OFPR,-7.888377184921819,3.0614129933306256e-15,3.979836891329813e-14,FMLR - OFPR,-7.660248201619703,1.8557408952813e-14,2.22688907433756e-13
FSLR - OFPR,-10.564064490486018,4.373070761384128e-26,4.373070761384128e-25,FSLR - OFPR,-7.879207816669242,3.29463144195213e-15,3.953557730342556e-14,FSLR - OFPR,-10.527455582863858,6.455586316855283e-26,9.683379475282925e-25,FSLR - OFPR,-13.501485642192689,1.5325422732677305e-41,2.605321864555142e-40
HRRF - OFPR,14.235931640155453,5.482734840119505e-46,7.675828776167308e-45,HRRF - OFPR,0.19723973041508008,0.8436399408759486,0.8436399408759486,HRRF - OFPR,3.1676225210184463,0.0015369093381053453,0.006147637352421381,HRRF - OFPR,5.053690562697376,4.3335351117465616e-7,4.333535111746561e-6
INPR - OFPR,-10.591250666922104,3.2719078348091254e-26,3.599098618290038e-25,INPR - OFPR,-9.530400882877025,1.5667702346460089e-21,2.5068323754336142e-20,INPR - OFPR,-11.029321533559576,2.759388438051639e-28,4.690960344687786e-27,INPR - OFPR,-2.3028634904205125,0.021286524911060083,0.06385957473318024
MCPR - OFPR,-6.970769454814573,3.1521216195580077e-12,2.2064851336906054e-11,MCPR - OFPR,-5.268798127750221,1.3731987798552134e-7,1.0985590238841708e-6,MCPR - OFPR,-5.561413269807313,2.6759866042040776e-8,1.8731906229428542e-7,MCPR - OFPR,2.804297282072464,0.005042638656247985,0.03025583193748791
