Diversity,Predictor,Partial_Deviance,Partial_Deviance_SE,Percent_Partial_Deviance
Abundance,All,0.2103820802883291,0,21.038208028832912
Abundance,Space,0.09685034940341769,0.009625090404687137,9.685034940341769
Abundance,Time,0.023340293317816473,0.008187786522334052,2.334029331781647
Abundance,Habitat Structure,0.11160316068783468,0.008253227696803879,11.160316068783468
Abundance,No-Take Zones,0.022986636238993472,0.008251009844950917,2.298663623899347
Biomass,All,0.1693848211644137,0,16.93848211644137
Biomass,Space,0.0448656073983972,0.007066064666559774,4.48656073983972
Biomass,Time,0.01375142666904494,0.0068904256639915245,1.375142666904494
Biomass,Habitat Structure,0.12326282087610377,0.0026488213535618157,12.326282087610377
Biomass,No-Take Zones,0.026110385077050716,0.007251686173767442,2.6110385077050715
Evenness,All,0.1213141623944261,0,12.131416239442611
Evenness,Space,0.03950693494757217,0.005266047154951581,3.9506934947572168
Evenness,Time,0.010417253813372381,0.005337163676191284,1.041725381337238
Evenness,Habitat Structure,0.09000946349516264,0.002356024778616662,9.000946349516264
Evenness,No-Take Zones,0.010883352869630367,0.005327169103583062,1.0883352869630367
Richness,All,0.24974121882025987,0,24.974121882025987
Richness,Space,0.06281379631798181,0.012702746491708933,6.281379631798181
Richness,Time,0.021268559835797934,0.011304393680018756,2.1268559835797936
Richness,Habitat Structure,0.1931923509588235,0.006628405527529773,19.319235095882352
Richness,No-Take Zones,0.027479883462375503,0.011681777920530961,2.74798834623755
Simpson,All,0.10703060286521342,0,10.703060286521342
Simpson,Space,0.036454232086428,0.004288749114617256,3.6454232086428
Simpson,Time,0.009213082036298687,0.004481231255997281,0.9213082036298688
Simpson,Habitat Structure,0.07679994001615263,0.0018282457273306448,7.679994001615263
Simpson,No-Take Zones,0.011333933701598698,0.004544819784433557,1.1333933701598697
Shannon,All,0.11676272860036478,0,11.676272860036478
Shannon,Space,0.03854914784898262,0.004701697752584654,3.854914784898262
Shannon,Time,0.009812932832933233,0.0048774824350692495,0.9812932832933232
Shannon,Habitat Structure,0.08447653257644207,0.0019039931084360328,8.447653257644207
Shannon,No-Take Zones,0.012512594032250158,0.00497167750201159,1.2512594032250157
Functional,All,0.14560455759783988,0,14.560455759783988
Functional,Space,0.012125166079662889,0.008073588526582897,1.2125166079662888
Functional,Time,0.013229368228644288,0.008075021034711671,1.3229368228644287
Functional,Habitat Structure,0.14085093443827462,2.4717589550120935e-4,14.085093443827462
Functional,No-Take Zones,0.015613650105444306,0.00810050779257688,1.5613650105444306
