SPECIES_CD,FAMILY,SCINAME,COMNAME
DIO HOLO,Diodontidae,Diodon holocanthus,Balloonfish
GYM MORI,Muraenidae,Gymnothorax moringa,Spotted Moray
CAR CRYS,Carangidae,Caranx crysos,Blue Runner
MON TUCK,Monacanthidae,Monacanthus tuckeri,Slender Filefish
MAL PLUM,Malacanthidae,Malacanthus plumieri,Sand Tilefish
ACA QUAD,Ostraciidae,Acanthostracion quadricornis,Scrawled Cowfish
CEP FULV,Serranidae,Cephalopholis fulva,Coney
BAL CAPR,Balistidae,Balistes capriscus,Gray Triggerfish
LUT MAHO,Lutjanidae,Lutjanus mahogoni,Mahogany Snapper
MAL MACR,Labrisomidae,Malacoctenus macropus,Rosy Blenny
HOL RUFU,Holocentridae,Holocentrus rufus,Longspine Squirrelfish
ANI SURI,Haemulidae,Anisotremus surinamensis,Black Margate
CHR INSO,Pomacentridae,Chromis insolata,Sunshinefish
EPI ADSC,Serranidae,Epinephelus adscensionis,Rock Hind
LUT SYNA,Lutjanidae,Lutjanus synagris,Lane Snapper
HYP PUEL,Serranidae,Hypoplectrus puella,Barred Hamlet
STE DIEN,Pomacentridae,Stegastes diencaeus,Longfin Damselfish
HAE CHRY,Haemulidae,Haemulon chrysargyreum,Smallmouth Grunt
HAE MACR,Haemulidae,Haemulon macrostomum,Spanish Grunt
MUL MART,Mullidae,Mulloidichthys martinicus,Yellow Goatfish
PTE CALL,Ptereleotridae,Ptereleotris calliura,Blue Dartfish
HAE PARR,Haemulidae,Haemulon parra,Sailors Choice
HYP GEMM,Serranidae,Hypoplectrus gemma,Blue Hamlet
URO JAMA,Urolophidae,Urobatis jamaicensis,Yellow Stingray
HAE MELA,Haemulidae,Haemulon melanurum,Cottonwick
ALU SCRI,Monacanthidae,Aluterus scriptus,Scrawled Filefish
CHR SCOT,Pomacentridae,Chromis scotti,Purple Reeffish
SER TABA,Serranidae,Serranus tabacarius,Tobaccofish
HAE CARB,Haemulidae,Haemulon carbonarium,Caesar Grunt
SER BALD,Serranidae,Serranus baldwini,Lantern Bass
SCO REGA,Scombridae,Scomberomorus regalis,Cero
COR DICR,Gobiidae,Coryphopterus dicrus,Colon Goby
PAR MARM,Blenniidae,Parablennius marmoreus,Seaweed Blenny
CAR BART,Carangidae,Caranx bartholomaei,Yellow Jack
SPA RADI,Scaridae,Sparisoma radians,Bucktooth Parrotfish
CRY ROSE,Scaridae,Cryptotomus roseus,Bluelip Parrotfish
XYR SPLE,Labridae,Xyrichtys splendens,Green Razorfish
SCA COEL,Scaridae,Scarus coelestinus,Midnight Parrotfish
OPI AURI,Opistognathidae,Opistognathus aurifrons,Yellowhead Jawfish
MAL TRIA,Labrisomidae,Malacoctenus triangulatus,Saddled Blenny
CLE PARR,Labridae,Clepticus parrae,Creole Wrasse
PAR ACUM,Sciaenidae,Pareques acuminatus,High Hat
HOL ADSC,Holocentridae,Holocentrus adscensionis,Squirrelfish
LAC TRIQ,Ostraciidae,Lactophrys triqueter,Smooth Trunkfish
SCA VETU,Scaridae,Scarus vetula,Queen Parrotfish
HAL POEY,Labridae,Halichoeres poeyi,Blackear Wrasse
SPH BARR,Sphyraenidae,Sphyraena barracuda,Great Barracuda
KYP SECT,Kyphosidae,Kyphosus sectatrix,Bermuda Chub
MIC CHRY,Pomacentridae,Microspathodon chrysurus,Yellowtail Damselfish
SCA GUAC,Scaridae,Scarus guacamaia,Rainbow Parrotfish
EPI MORI,Serranidae,Epinephelus morio,Red Grouper
CHA STRI,Chaetodontidae,Chaetodon striatus,Banded Butterflyfish
STE ADUS,Pomacentridae,Stegastes adustus,Dusky Damselfish
CHR MULT,Pomacentridae,Chromis multilineata,Brown Chromis
AUL MACU,Aulostomidae,Aulostomus maculatus,Atlantic Trumpetfish
GNA THOM,Gobiidae,Gnatholepis thompsoni,Goldspot Goby
SCA COER,Scaridae,Scarus coeruleus,Blue Parrotfish
HOL BERM,Pomacanthidae,Holacanthus bermudensis,Blue Angelfish
LUT APOD,Lutjanidae,Lutjanus apodus,Schoolmaster
MYC BONA,Serranidae,Mycteroperca bonaci,Black Grouper
LUT ANAL,Lutjanidae,Lutjanus analis,Mutton Snapper
HAE AURO,Haemulidae,Haemulon aurolineatum,Tomtate
ELA OCEA,Gobiidae,Elacatinus oceanops,Neon Goby
LUT GRIS,Lutjanidae,Lutjanus griseus,Gray Snapper
SCA TAEN,Scaridae,Scarus taeniopterus,Princess Parrotfish
CHR CYAN,Pomacentridae,Chromis cyanea,Blue Chromis
POM PARU,Pomacanthidae,Pomacanthus paru,French Angelfish
ABU SAXA,Pomacentridae,Abudefduf saxatilis,Sergeant Major
STE PLAN,Pomacentridae,Stegastes planifrons,Threespot Damselfish
SPA RUBR,Scaridae,Sparisoma rubripinne,Yellowtail Parrotfish
CHA SEDE,Chaetodontidae,Chaetodon sedentarius,Reef Butterflyfish
COR PERS,Gobiidae,Coryphopterus personatus,Masked Goby
STE LEUC,Pomacentridae,Stegastes leucostictus,Beaugregory
SPA CHRY,Scaridae,Sparisoma chrysopterum,Redtail Parrotfish
HOL TRIC,Pomacanthidae,Holacanthus tricolor,Rock Beauty
BOD RUFU,Labridae,Bodianus rufus,Spanish Hogfish
HYP UNIC,Serranidae,Hypoplectrus unicolor,Butter Hamlet
HOL CILI,Pomacanthidae,Holacanthus ciliaris,Queen Angelfish
HAL RADI,Labridae,Halichoeres radiatus,Puddingwife
PSE MACU,Mullidae,Pseudupeneus maculatus,Spotted Goatfish
HAE SCIU,Haemulidae,Haemulon sciurus,Bluestriped Grunt
CAL CALA,Sparidae,Calamus calamus,Saucereye Porgy
SER TIGR,Serranidae,Serranus tigrinus,Harlequin Bass
CEP CRUE,Serranidae,Cephalopholis cruentata,Graysby
CAR RUBE,Carangidae,Caranx ruber,Bar Jack
HAE FLAV,Haemulidae,Haemulon flavolineatum,French Grunt
ANI VIRG,Haemulidae,Anisotremus virginicus,Porkfish
SPA ATOM,Scaridae,Sparisoma atomarium,Greenblotch Parrotfish
CHA CAPI,Chaetodontidae,Chaetodon capistratus,Foureye Butterflyfish
CHA OCEL,Chaetodontidae,Chaetodon ocellatus,Spotfin Butterflyfish
CAN ROST,Tetraodontidae,Canthigaster rostrata,Sharpnose Puffer
POM ARCU,Pomacanthidae,Pomacanthus arcuatus,Gray Angelfish
ACA CHIR,Acanthuridae,Acanthurus chirurgus,Doctorfish
COR GLAU,Gobiidae,Coryphopterus glaucofraenum,Bridled Goby
STE VARI,Pomacentridae,Stegastes variabilis,Cocoa Damselfish
OCY CHRY,Lutjanidae,Ocyurus chrysurus,Yellowtail Snapper
HAL MACU,Labridae,Halichoeres maculipinna,Clown Wrasse
LAC MAXI,Labridae,Lachnolaimus maximus,Hogfish
SPA VIRI,Scaridae,Sparisoma viride,Stoplight Parrotfish
HAL GARN,Labridae,Halichoeres garnoti,Yellowhead Wrasse
HAL BIVI,Labridae,Halichoeres bivittatus,Slippery Dick
HAE PLUM,Haemulidae,Haemulon plumierii,White Grunt
SCA ISER,Scaridae,Scarus iseri,Striped Parrotfish
ACA COER,Acanthuridae,Acanthurus coeruleus,Blue Tang
STE PART,Pomacentridae,Stegastes partitus,Bicolor Damselfish
ACA BAHI,Acanthuridae,Acanthurus bahianus,Ocean Surgeon
SPA AURO,Scaridae,Sparisoma aurofrenatum,Redband Parrotfish
THA BIFA,Labridae,Thalassoma bifasciatum,Bluehead
